Event Name,Runner,Score,Tournament,Winner,Year,Rank
Australian Open,Rafael Nadal," 6–3, 6–2, 6–3",2019 Australian Open,Novak Djokovic,2019,65
Roland Garros,Dominic Thiem,"6–3, 5–7, 6–1, 6–1",2019 Roland Garros,Rafael Nadal,2019,66
US Open,Daniil Medvedev," 7–5, 6–3, 5–7, 4–6, 6–4",2019 US Open,Rafael Nadal,2019,68
Wimbledon,Roger Federer," 7–6(7–5), 1–6, 7–6(7–4), 4–6, 13–12(7–3)",2019 Wimbledon,Novak Djokovic,2019,67
Australian Open,Dominic Thiem,"6–4, 4–6, 2–6, 6–3, 6–4",2020 Australian Open,Novak Djokovic,2020,69
Roland Garros,Novak Djokovic,"6–0, 6–2, 7–5",2020 Roland Garros,Rafael Nadal,2020,70
US Open,Alexander Zverev,"2–6, 4–6, 6–4, 6–3, 7–6",2020 US Open,Dominic Thiem,2020,71
Australian Open,Daniil Medvedev,"7–5, 6–2, 6–2",2021 Australian Open,Novak Djokovic,2021,72
Roland Garros,Stefanos Tsitsipas,"6–7(6-8), 2–6, 6–3, 6–2, 6–4",2021 Roland Garros,Novak Djokovic,2021,73
US Open,Novak Djokovic,"6–4, 6–4, 6–4",2021 US Open,Daniil Medvedev,2021,75
Wimbledon,Matteo Berrettini,"6–7(4–7), 6–4, 6–4, 6–3",2021 Wimbledon,Novak Djokovic,2021,74
